Слово,Заміна,Коментар
"Кандракар","КандракАр",""
"Хезерфілд","ХЕзерфілд",""
"Меридіан","МеридіАн",""
"Торус-Філні","ТОрус-ФІлні",""
"Треби","ТрЕби",""
"Гора Танос","Гора ТАнос",""
"Аурамери","АурамЕри",""
"Хуґонґ","ХуґОнґ",""
"Капторикс","КАпторикс",""
"Моґрифи","МоґрИфи",""
"Гіпноса","ГІпноса",""
"Лурдени","ЛурдЕни",""
"Вендом","ВЕндом",""
"Юрая","ЮрАя",""
"Нерісса","НерІсса",""
"Ватек","ВАтек",""
"Елдарн","Елдарн","наголос на першу Е"
"Кессіді","КЕссіді",""
"Кадма","КАдма",""
"Гелінор","ГЕлінор",""
"Рейтор","РЕйтор",""
"Вейра","ВЕйра",""
"Тайнар","ТайнАр",""
"Зейден","ЗЕйден",""
"Ґрампер","ҐрАмпер",""
"Ембер","Ембер","наголос на першу Е"
"Залізокора","ЗалізокОра",""
"Козел","Смердюк","!!"
"Невимовний","Красень","якось"
